facility_name,state,year,primary_fuel,electricity_mwh,total_emissions,emission_intensity,reporting_entity,grid_connected
Atlas Renewable Energy Facility,WA,2015,Landfill Gas,4025.0,228.0,0.056645962732919254,Lms Energy Pty Ltd,Connected
Augusta Power Stations,SA,2015,Coal,2601170.0,2639744.0,1.014829480579893,Alinta Energy Finance Pty Ltd,Connected
Australand,NSW,2015,Gas,1150.0,733.0,0.6373913043478261,Origin Energy Limited,Connected
Awaba Renewable Energy Facility,NSW,2015,Landfill Gas,8830.0,497.0,0.05628539071347678,Lms Energy Pty Ltd,Connected
Biep - Cogen,QLD,2015,Gas,2579.0,7589.0,2.9426134160527337,Bp Australia Investments Pty Ltd,Connected
Bairnsdale Power Station,VIC,2015,Gas,197541.0,108009.0,0.5467675064923231,Alinta Energy Finance Pty Ltd,Connected
Bald Hills Wind Farm,VIC,2015,Wind,323715.0,889.0,0.002746242837063466,Mitsui & Co. (Australia) Ltd.,Connected
Ballarat Renewable Energy Facility,VIC,2015,Landfill Gas,6831.0,392.0,0.05738544868979652,Lms Energy Pty Ltd,Connected
Ballarat Solar Park,VIC,2015,Solar,389.0,2.0,0.005141388174807198,Origin Energy Limited,Connected
Banimboola Hydro,VIC,2015,Hydro,47238.0,5.0,0.00010584698759473306,Agl Energy Limited,Connected
Barron Gorge Power Station,QLD,2015,Hydro,106884.0,986.0,0.00922495415590734,Stanwell Corporation Limited,Connected
Bastyan Hydro Power Station,TAS,2015,Hydro,271212.0,94.0,0.00034659233367255135,Hydro-Electric Corporation,Connected
Bayswater Power Station,NSW,2015,Coal,17914930.0,15919040.0,0.8885906894417115,Agl Energy Limited,Connected
Beagle Bay Remote Power Station,WA,2015,Liquid Fuel,1871.0,1356.0,0.7247461250668092,Duet Company Limited,Disconnected
Bell Bay Thermal Power Station,TAS,2015,Gas,151.0,801.0,5.304635761589404,Hydro-Electric Corporation,Connected
Belrose Lfg Power Station,NSW,2015,Landfill Gas,6183.0,410.0,0.06631085233705321,Duet Company Limited,Connected
Bendigo Renewable Energy Facility,VIC,2015,Solar,4209.0,236.0,0.05607032549299121,Lms Energy Pty Ltd,Connected
Bendigo Solar Park,VIC,2015,Solar,509.0,4.0,0.007858546168958742,Origin Energy Limited,Connected
Berwick Lfg Power Station,VIC,2015,Landfill Gas,18169.0,1757.0,0.09670317573889592,Duet Company Limited,Connected
Bidyadanga Remote Power Staiton,WA,2015,Liquid Fuel,3229.0,2306.0,0.7141529885413441,Duet Company Limited,Disconnected
Birkdale Renewable Energy Facility,QLD,2015,Landfill Gas,6665.0,364.0,0.054613653413353336,Lms Energy Pty Ltd,Connected
Blackmores,NSW,2015,Gas,1336.0,1026.0,0.7679640718562875,Origin Energy Limited,Connected
Blayney Wind Farm,NSW,2015,Wind,18891.0,44.0,0.002329151447779366,Gsp Energy Pty Ltd,Connected
Bluewaters Power 1,WA,2015,Coal,1572317.0,1395504.0,0.8875462136452128,Bluewaters Power 1 Pty Ltd,Connected
Bluewaters Power 2,WA,2015,Coal,1641314.0,1415268.0,0.8622774191897468,Bluewaters Power 2 Pty Ltd,Connected
Boco Rock Wind Farm Pty Ltd,NSW,2015,Wind,334114.0,1026.0,0.0030708081672722485,Cwp Renewables Pty Ltd,Connected
Bogong Power Station,VIC,2015,Hydro,73149.0,956.0,0.01306921489015571,Agl Energy Limited,Connected
Bond,NSW,2015,Gas,1121.0,667.0,0.5950044603033007,Origin Energy Limited,Connected
Borroloola Generation,NT,2015,Diesel,6484.0,4453.0,0.6867674275138803,Power And Water Corporation,Disconnected
Braemar 2 Power Station,QLD,2015,Coal Seam Methane,1161202.0,698241.0,0.6013088162094106,Arrow Energy Holdings Pty Ltd,Connected
