Reporting entity,Facility name,Type,State,Electricity production GJ,Electricity production MWh,Total scope 1 emissions t CO2 e,Total scope 2 emissions t CO2 e,Total emissions t CO2 e,Emission intensity t CO2 e MWh,Grid connected,Grid,Primary fuel,Important notes
HYDRO-ELECTRIC CORPORATION,Hydro Power Station - Meadowbank,F,TAS,431584,119884,6,19,25,0,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Hydro Power Station - Paloona,F,TAS,305553,84876,8,10,18,0,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Hydro Power Station - Parangana,F,TAS,18770,5214,0,0,0,0,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Hydro Power Station - Poatina,F,TAS,4723265,1312018,8,922,930,0,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Hydro Power Station - Reece,F,TAS,2733651,759347,74,2262,2336,0,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Hydro Power Station - Repulse,F,TAS,414536,115149,7,10,17,0,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Hydro Power Station - Tarraleah,F,TAS,1991480,553189,944,73,1017,0,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Hydro Power Station - Tods Corner,F,TAS,0,0,0,4,4,0,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Hydro Power Station - Trevallyn,F,TAS,1239735,344371,0,54,54,0,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Hydro Power Station - Tribute,F,TAS,762467,211796,24,39,63,0,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Hydro Power Station - Tungatinah,F,TAS,1354955,376377,31,88,119,0,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Hydro Power Station - Wayatinah,F,TAS,779458,216516,0,37,37,0,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Hydro Power Station - Wilmot,F,TAS,294939,81928,6,25,31,0,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Power Station - Flinders Island,F,TAS,18690,5192,1769,0,1769,0.34,Off,Off-grid,Wind,-
HYDRO-ELECTRIC CORPORATION,Power Station - King Island,F,TAS,52607,14613,6924,0,6924,0.47,Off,Off-grid,Diesel,-
HYDRO-ELECTRIC CORPORATION,Power Station - Tamar Valley,F,TAS,839303,233140,112140,1100,113240,0.48,On,NEM,Gas,-
HYDRO-ELECTRIC CORPORATION,Corporate Total,C,-,28235850,7843292,122334,6466,128800,,-,-,-,-
IBERDROLA AUSTRALIA LIMITED,Alinta Wind Farm,F,WA,938742,260762,81,940,1021,0,On,SWIS,Wind,-
IBERDROLA AUSTRALIA LIMITED,Avonlie Solar Farm,F,NSW,1512221,420062,89,2342,2431,0,On,NEM,Solar,-
IBERDROLA AUSTRALIA LIMITED,Bodangora Wind Farm,F,NSW,1012211,281170,92,605,697,0,On,NEM,Wind,-
IBERDROLA AUSTRALIA LIMITED,Bolivar Power Station,F,SA,155868,43297,23494,209,23703,0.54,On,NEM,Gas,-
IBERDROLA AUSTRALIA LIMITED,Capital Wind Farm,F,NSW,1084887,301358,194,817,1011,0,On,NEM,Wind,-
IBERDROLA AUSTRALIA LIMITED,Lake Bonney BESS Pty Ltd,F,SA,0,0,5,605,610,0,On,NEM,Battery,-
IBERDROLA AUSTRALIA LIMITED,"Lake Bonney Stage 1,2 & 3 Wind Farm",F,SA,1766676,490743,133,573,706,0,On,NEM,Wind,-
IBERDROLA AUSTRALIA LIMITED,PAREP Wind,F,SA,2729166,758102,228,150,378,0,On,NEM,Wind,-
IBERDROLA AUSTRALIA LIMITED,Smithfield Gas Turbine,F,NSW,174024,48340,34995,1088,36083,0.72,On,NEM,Gas,-
IBERDROLA AUSTRALIA LIMITED,Woodlawn Wind Farm,F,NSW,410598,114055,58,311,369,0,On,NEM,Wind,-
IBERDROLA AUSTRALIA LIMITED,Corporate Total,C,-,9784393,2717888,59369,7640,67009,,-,-,-,-
INTERA HOLD (T) PTY LTD,Ross River Solar Farm,F,QLD,902389,250664,45,677,722,0,On,NEM,Solar,-
INTERA HOLD (T) PTY LTD,Corporate Total,C,-,902389,250664,45,677,722,,-,-,-,-
KENNEDY ENERGY PARK HOLDINGS PTY LTD,Kennedy Energy Park Pty Ltd,F,QLD,637017,176949,54,110,164,0,On,NEM,Wind,-
KENNEDY ENERGY PARK HOLDINGS PTY LTD,Corporate Total,C,-,637017,176949,54,110,164,,-,-,-,-
KIAMCO HANWHA FORESIGHT BANNERTON PTY LTD,Bannerton Solar Farm,F,VIC,451831,125509,0,0,0,0,On,NEM,Solar,-
KIAMCO HANWHA FORESIGHT BANNERTON PTY LTD,Corporate Total,C,-,451831,125509,0,0,0,,-,-,-,-
LAL LAL WIND FARMS NOM CO PTY LIMITED,Lal Lal Wind Farm,F,VIC,1692969,470269,130,2275,2405,0,On,NEM,Wind,-
LAL LAL WIND FARMS NOM CO PTY LIMITED,Corporate Total,C,-,1692969,470269,130,2275,2405,,-,-,-,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Kalamunda Power Station,F,WA,0,0,0,0,0,0,On,SWIS,Diesel,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Red Hill LFG Power Station,F,WA,85975,23882,1840,2,1842,0.08,On,SWIS,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Tamala Park LFG Power Station,F,WA,101157,28099,2162,2,2164,0.08,On,SWIS,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,187132,51981,4002,4,4006,,-,-,-,-
LGI LIMITED,Benaraby LFGE Station,F,QLD,28821,8006,715,3,718,0.09,On,NEM,Landfill Gas,-
LGI LIMITED,Bunya LFGE Station,F,QLD,19164,5323,626,0,626,0.12,On,NEM,Landfill Gas,-
LGI LIMITED,Caboolture LFGE Station,F,QLD,52199,14500,1333,2,1335,0.09,On,NEM,Landfill Gas,-
LGI LIMITED,Dakabin LFGE Station,F,QLD,47368,13158,991,4,995,0.08,On,NEM,Landfill Gas,-
LGI LIMITED,Maryborough LFGE Station,F,QLD,41456,11515,1296,2,1298,0.11,On,NEM,Landfill Gas,-
LGI LIMITED,Mugga Lane LFGE Station,F,ACT,128346,35652,4349,1,4350,0.12,On,NEM,Landfill Gas,-
LGI LIMITED,Willawong LFGE Station,F,QLD,16650,4625,451,3,454,0.1,On,NEM,Landfill Gas,-
LGI LIMITED,Corporate Total,C,-,334004,92779,9761,15,9776,,-,-,-,-
LIGHTHOUSE INFRASTRUCTURE MANAGEMENT LIMITED,Emerald Solar Park,F,QLD,369239,102566,36,1150,1186,0,On,NEM,Solar,-
LIGHTHOUSE INFRASTRUCTURE MANAGEMENT LIMITED,Corporate Total,C,-,369239,102566,36,1150,1186,,-,-,-,-
LILYVALE HOLDINGS CO PTY. LTD.,Lilyvale Solar Farm,F,QLD,606944,168595,57,573,630,0,On,NEM,Solar,-
LILYVALE HOLDINGS CO PTY. LTD.,Corporate Total,C,-,606944,168595,57,573,630,,-,-,-,-
LINCOLN GAP OPERATIONS PTY LTD,Lincoln Gap Wind Farm Operations Pty Ltd,F,SA,2197170,610325,39,4312,4351,0,On,NEM,Wind,-
LINCOLN GAP OPERATIONS PTY LTD,Corporate Total,C,-,2197170,610325,39,4312,4351,,-,-,-,-
LMS ENERGY PTY LTD,Albury Renewable Energy Facility,F,NSW,24350,6764,519,1,520,0.08,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Albury Solar Facility,F,NSW,3538,983,0,0,0,0,Off,Off-grid,Solar,-
LMS ENERGY PTY LTD,Awaba Renewable Energy Facility,F,NSW,12615,3504,265,5,270,0.08,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Ballarat Renewable Energy Facility,F,VIC,40871,11353,872,0,872,0.08,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Bendigo Renewable Energy Facility,F,VIC,15236,4232,303,0,303,0.07,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Caloundra Renewable Energy Facility,F,QLD,24518,6811,487,2,489,0.07,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Copping Renewable Energy Facility,F,TAS,55417,15393,1090,0,1090,0.07,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Darwin Renewable Energy Facility,F,NT,33039,9178,645,3,648,0.07,On,DKIS,Landfill Gas,-
LMS ENERGY PTY LTD,Drysdale Renewable Energy Facility,F,VIC,32773,9103,637,1,638,0.07,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Eastern Creek 2 Renewable Energy Facility,F,NSW,125649,34902,2527,1,2528,0.07,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Glenorchy Renewable Energy Facility,F,TAS,27191,7553,535,0,535,0.07,On,NEM,Gas,-
LMS ENERGY PTY LTD,Hampton Park Renewable Energy Facility,F,VIC,254201,70612,5115,3,5118,0.07,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Henderson Renewable Energy Facility,F,WA,55914,15532,1048,13,1061,0.07,On,SWIS,Landfill Gas,-
LMS ENERGY PTY LTD,Ipswich Renewable Energy Facility,F,QLD,10027,2785,211,2,213,0.08,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Mc Robies Gully Renewable Energy Facility,F,TAS,16865,4685,344,0,344,0.07,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Mornington Peninsula Renewable Energy Facility,F,VIC,14481,4022,308,2,310,0.08,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,NAWMA Renewable Energy Facility,F,SA,29095,8082,582,1,583,0.07,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,NAWMA Solar Facility,F,SA,4244,1179,0,0,0,0,On,NEM,Solar,-
LMS ENERGY PTY LTD,Newcastle Renewable Energy Facility,F,NSW,89070,24742,1872,0,1872,0.08,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Raymond Terrace Renewable Energy Facility,F,NSW,30869,8575,643,2,645,0.07,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Reedy Creek Renewable Energy Facility,F,QLD,23807,6613,475,9,484,0.07,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Remount Renewable Energy Facility,F,TAS,33094,9193,659,0,659,0.07,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Rochedale Renewable Energy Facility,F,QLD,226633,62954,4977,4,4981,0.08,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Rockingham Renewable Energy Facility,F,WA,28753,7987,646,15,661,0.08,On,SWIS,Landfill Gas,-
LMS ENERGY PTY LTD,Seaford Heights Renewable Energy Facility,F,SA,64315,17865,1370,4,1374,0.08,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Seaford Heights Solar Facility,F,SA,2497,694,0,0,0,0,On,NEM,Solar,-
LMS ENERGY PTY LTD,Shepparton Renewable Energy Facility,F,VIC,20232,5620,418,1,419,0.07,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,South Cardup Renewable Energy Facility,F,WA,47952,13320,1067,1,1068,0.08,On,SWIS,Landfill Gas,-
LMS ENERGY PTY LTD,Stapylton Renewable Energy Facility,F,QLD,99336,27593,2147,2,2149,0.08,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Swanbank Renewable Energy Facility,F,QLD,63295,17582,1302,19,1321,0.07,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Wollert Renewable Energy Facility,F,VIC,228329,63425,4594,7,4601,0.07,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Woy Woy Renewable Energy Facility,F,NSW,27932,7759,552,6,558,0.07,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Wyndham Renewable Energy Facility,F,VIC,151086,41968,3081,5,3086,0.07,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Wyong Renewable Energy Facility,F,NSW,55465,15407,1170,2,1172,0.08,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Corporate Total,C,-,1972689,547969,40461,111,40572,,-,-,-,-
LS AUSTRALIA HOLDCO1 PTY LTD,Wellington Solar Farm,F,NSW,1378241,382845,23,1075,1098,0,On,NEM,Solar,-
LS AUSTRALIA HOLDCO1 PTY LTD,Corporate Total,C,-,1378241,382845,23,1075,1098,,-,-,-,-
METKA EGN AUSTRALIA HOLDINGS PTY LTD,Corowa Solar Farm,F,NSW,222367,61769,0,135,135,0,On,NEM,Solar,-
METKA EGN AUSTRALIA HOLDINGS PTY LTD,Junee Solar Farm,F,NSW,208276,57854,0,200,200,0,On,NEM,Solar,-
METKA EGN AUSTRALIA HOLDINGS PTY LTD,Wagga Wagga North Solar Farm,F,NSW,294944,81929,0,269,269,0,On,NEM,Solar,-
METKA EGN AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,725587,201552,0,604,604,,-,-,-,-
METZ HOLDCO PTY LTD,Metz Solar Farm,F,NSW,793954,220543,42,1088,1130,0,On,NEM,Solar,-
METZ HOLDCO PTY LTD,Corporate Total,C,-,793954,220543,42,1088,1130,,-,-,-,-
MOORABOOL WIND FARM (HOLDING) PTY LTD,Moorabool Wind Farm Pty Ltd,F,VIC,1311765,364379,54,706,760,0,On,NEM,Wind,-
MOORABOOL WIND FARM (HOLDING) PTY LTD,Corporate Total,C,-,1311765,364379,54,706,760,,-,-,-,-
MOORABOOL SOUTH WIND FARM (HOLDING) PTY LTD,Moorabool South Wind Farm Pty Ltd,F,VIC,1386474,385132,59,762,821,0,On,NEM,Wind,-
MOORABOOL SOUTH WIND FARM (HOLDING) PTY LTD,Corporate Total,C,-,1386474,385132,59,762,821,,-,-,-,-
MOREE HOLDINGS CO PTY LTD,Moree Solar Farm,F,SA,494164,137268,24,586,610,0,On,NEM,Solar,-
MOREE HOLDINGS CO PTY LTD,Corporate Total,C,-,494164,137268,24,586,610,,-,-,-,-
MOURA SOLAR FARM HOLDINGS PTY LTD,MOURA SOLAR FARM SPV PTY LTD,F,QLD,660443,183456,0,1269,1269,0,On,NEM,Solar,-
MOURA SOLAR FARM HOLDINGS PTY LTD,Corporate Total,C,-,660443,183456,0,1269,1269,,-,-,-,-
MUMBIDA WIND FARM NO 1 HOLDINGS PTY LTD,Mumbida Wind Farm Pty Ltd,F,WA,581978,161661,29,226,255,0,On,SWIS,Wind,-
MUMBIDA WIND FARM NO 1 HOLDINGS PTY LTD,Corporate Total,C,-,581978,161661,29,226,255,,-,-,-,-
MURRA WARRA II PROJECT CO PTY LTD,Murra Warra II Wind Farm,F,VIC,1944428,540119,85,1468,1553,0,On,NEM,Wind,-
MURRA WARRA II PROJECT CO PTY LTD,Corporate Total,C,-,1944428,540119,85,1468,1553,,-,-,-,-
NEOEN AUSTRALIA PTY. LTD.,BULGANA GREEN POWER HUB,F,VIC,1863871,517742,217,5414,5631,0,On,NEM,Wind,-
NEOEN AUSTRALIA PTY. LTD.,COLEAMBALLY SOLAR PTY LTD,F,NSW,1128069,313352,62,1022,1084,0,On,NEM,Solar,-
NEOEN AUSTRALIA PTY. LTD.,DEGRUSSA SOLAR PROJECT PTY LTD,F,WA,61,17,0,4,4,0,Off,Off-grid,Solar,-
NEOEN AUSTRALIA PTY. LTD.,DUBBO SOLAR HUB PTY LTD,F,NSW,208374,57882,8,75,83,0,On,NEM,Solar,-
NEOEN AUSTRALIA PTY. LTD.,GRIFFITH SOLAR FARM PTY LTD,F,NSW,245104,68084,6,86,92,0,On,NEM,Solar,-
NEOEN AUSTRALIA PTY. LTD.,HORNSDALE POWER RESERVE PTY LTD,F,SA,0,0,203,2945,3148,0,On,NEM,Battery,-
NEOEN AUSTRALIA PTY. LTD.,HWF1 Pty Ltd,F,SA,1223268,339797,47,56,103,0,On,NEM,Wind,-
NEOEN AUSTRALIA PTY. LTD.,HWF2 Pty Ltd,F,SA,1141536,317093,47,68,115,0,On,NEM,Wind,-
NEOEN AUSTRALIA PTY. LTD.,HWF3 PTY LTD,F,SA,1191902,331084,48,61,109,0,On,NEM,Wind,-
NEOEN AUSTRALIA PTY. LTD.,KABAN WIND FARM PTY LTD,F,QLD,1541154,428098,59,469,528,0,On,NEM,Wind,-
NEOEN AUSTRALIA PTY. LTD.,NUMURKAH SOLAR FARM PTY LTD,F,VIC,537730,149369,42,927,969,0,On,NEM,Solar,-
NEOEN AUSTRALIA PTY. LTD.,PARKES SOLAR FARM PTY LTD,F,NSW,398392,110664,28,233,261,0,On,NEM,Solar,-
NEOEN AUSTRALIA PTY. LTD.,VICTORIAN BIG BATTERY PTY LTD,F,VIC,0,0,573,19779,20352,0,On,NEM,Battery,-
NEOEN AUSTRALIA PTY. LTD.,WESTERN DOWNS GREEN POWER HUB PTY LTD,F,QLD,2894751,804098,491,2887,3378,0,On,NEM,Solar,-
NEOEN AUSTRALIA PTY. LTD.,Corporate Total,C,-,12374212,3437281,1831,34026,35857,,-,-,-,-
NEWGEN KWINANA HOLDINGS PTY LTD,Kwinana Gas Fired Power Station,F,WA,6804196,1890055,755148,650,755798,0.4,On,SWIS,Gas,-
NEWGEN KWINANA HOLDINGS PTY LTD,Corporate Total,C,-,6804196,1890055,755148,650,755798,,-,-,-,-
NRG VICTORIA I PTY LTD,Gladstone Power Station,F,QLD,23681515,6578199,6492467,46061,6538528,0.99,On,NEM,Black Coal,-
NRG VICTORIA I PTY LTD,Corporate Total,C,-,23681515,6578199,6492467,46061,6538528,,-,-,-,-
OAKEY 1 NEW HOLDCO PTY LTD,Oakey 1 Solar Farm,F,QLD,156158,43377,0,0,0,0,On,NEM,Solar,-
OAKEY 1 NEW HOLDCO PTY LTD,Corporate Total,C,-,156158,43377,0,0,0,,-,-,-,-
OJRP HOLDCO PTY LTD,Dulacca Wind Farm,F,QLD,1912229,531175,203,829,1032,0,On,NEM,Wind,-
OJRP HOLDCO PTY LTD,Corporate Total,C,-,1912229,531175,203,829,1032,,-,-,-,-
ORIGIN ENERGY LIMITED,Ballarat Solar Park,F,VIC,1227,341,0,1,1,0,On,NEM,Solar,-
ORIGIN ENERGY LIMITED,Bendigo Solar Park,F,VIC,1478,410,0,3,3,0,On,NEM,Solar,-
ORIGIN ENERGY LIMITED,Darling Downs Power Station,F,QLD,4814900,1337472,584435,14540,598975,0.44,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Eraring Power Station,F,NSW,56223522,15617645,13535335,14885,13550220,0.87,On,NEM,Black Coal,-
ORIGIN ENERGY LIMITED,La Trobe,F,VIC,1,0,0,0,0,0,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Ladbroke Grove Power Station,F,SA,212950,59153,30118,252,30370,0.51,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Mortlake Power Station,F,VIC,1617544,449318,251299,5975,257274,0.56,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Mt Stuart Power Station,F,QLD,129382,35940,35233,3761,38994,0.98,On,NEM,Diesel,-
ORIGIN ENERGY LIMITED,Origin Energy Eraring Battery,F,NSW,0,0,616,22,638,0,On,NEM,Battery,-
ORIGIN ENERGY LIMITED,Quarantine Power Station,F,SA,436603,121279,72916,754,73670,0.6,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Roma Power Station,F,QLD,80579,22383,14958,821,15779,0.67,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Shoalhaven Scheme,F,NSW,387401,107611,4,85852,85856,0,On,NEM,Hydro,-
ORIGIN ENERGY LIMITED,Uranquinty Power Station,F,NSW,1813396,503721,303987,3922,307909,0.6,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Corporate Total,C,-,65718983,18255273,14828901,130788,14959689,,-,-,-,-
PALISADE GRANVILLE HARBOUR INVESTMENTS PTY LTD,Granville Harbour Wind Farm,F,TAS,1286049,357236,30,95,125,0,On,NEM,Wind,-
PALISADE GRANVILLE HARBOUR INVESTMENTS PTY LTD,Corporate Total,C,-,1286049,357236,30,95,125,,-,-,-,-
PALISADE WATERLOO HOLDINGS PTY LTD,Waterloo Wind Farm,F,SA,1091353,303154,130,177,307,0,On,NEM,Wind,-
PALISADE WATERLOO HOLDINGS PTY LTD,Corporate Total,C,-,1091353,303154,130,177,307,,-,-,-,-
PARF COMPANY 2 PTY LTD,Rye Park Wind Farm,F,NSW,1618650,449625,102,1771,1873,0,On,NEM,Wind,-
PARF COMPANY 2 PTY LTD,Corporate Total,C,-,1618650,449625,102,1771,1873,,-,-,-,-
PEAK RENEWABLES HOLDINGS PTY LTD,Burrinjuck Hydro,F,NSW,402669,111853,10,14,24,0,On,NEM,Hydro,-
PEAK RENEWABLES HOLDINGS PTY LTD,Hume Hydro,F,NSW,672667,186852,23,110,133,0,On,NEM,Hydro,-
PEAK RENEWABLES HOLDINGS PTY LTD,Keepit Hydro,F,NSW,45530,12647,9,0,9,0,On,NEM,Hydro,-
PEAK RENEWABLES HOLDINGS PTY LTD,Mt Mercer Wind farm Pty Ltd,F,VIC,927519,257644,51,503,554,0,On,NEM,Wind,-
PEAK RENEWABLES HOLDINGS PTY LTD,Mt Millar Wind Farm Pty Ltd,F,SA,517787,143830,36,6,42,0,On,NEM,Wind,-
PEAK RENEWABLES HOLDINGS PTY LTD,Corporate Total,C,-,2566172,712826,129,633,762,,-,-,-,-
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LIMITED,Pelican Point Power Station,F,SA,6078239,1688400,677090,2844,679934,0.4,On,NEM,Gas,-
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LIMITED,Corporate Total,C,-,6078239,1688400,677090,2844,679934,,-,-,-,-
RIO TINTO LIMITED,Cape Lambert Power Station,F,WA,649478,180411,108551,0,108551,0.6,On,NWIS,Gas,-
RIO TINTO LIMITED,Paraburdoo Power Station,F,WA,2049108,569197,289565,0,289565,0.51,On,NWIS,Gas,-
RIO TINTO LIMITED,West Angelas Power Station,F,WA,1337041,371400,197559,0,197559,0.53,On,NWIS,Gas,-
RIO TINTO LIMITED,Yurralyi Maya Power Station,F,WA,2540006,705557,410351,0,410351,0.58,On,NWIS,Gas,-
RIO TINTO LIMITED,Corporate Total,C,-,6575633,1826565,1006026,0,1006026,,-,-,-,-
PORT ADELAIDE ENERGY PTY LTD,Snapper Point Power Station,F,SA,138465,38462,26704,615,27319,0.69,On,NEM,Gas,-
PORT ADELAIDE ENERGY PTY LTD,Corporate Total,C,-,138465,38462,26704,615,27319,,-,-,-,-
POWER AND WATER CORPORATION,Alpurrurulam (Lake Nash),F,NT,5906,1641,1222,0,1222,0.74,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Amanbidgi (Kildurk),F,NT,1523,423,390,0,390,0.92,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,"Ampilatwatja (Alparra, Ammaroo)",F,NT,16729,4647,2935,0,2935,0.63,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Amunturangu (Mount Liebig),F,NT,3207,891,564,0,564,0.63,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Aputula (Finke),F,NT,4178,1161,717,0,717,0.62,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Areyonga (Utju),F,NT,3529,980,601,0,601,0.61,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Atitjere (Harts Range),F,NT,3556,988,590,0,590,0.6,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Borroloola Generation,F,NT,23734,6593,4229,0,4229,0.64,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Bulla Camp,F,NT,1123,312,300,0,300,0.96,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Bulman,F,NT,5054,1404,964,0,964,0.69,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Daly Waters Generation,F,NT,6248,1736,1300,0,1300,0.75,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Elliot Generation,F,NT,11798,3277,2345,0,2345,0.72,Off,Off-grid,Gas,-
POWER AND WATER CORPORATION,Engawala (Alcoota),F,NT,2320,644,477,0,477,0.74,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Epenarra (Wutunugurra),F,NT,3042,845,705,0,705,0.83,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Eva Valley,F,NT,1220,339,287,0,287,0.85,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Galiwinku (Elcho Island),F,NT,32719,9089,5873,0,5873,0.65,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Gapuwiyak (Lake Evella),F,NT,13952,3876,2413,0,2413,0.62,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Gunbalanya (Oenpelli),F,NT,20993,5831,3691,0,3691,0.63,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Ikuntji (Haasts Bluff),F,NT,2403,668,560,0,560,0.84,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Imangara (Murray Downs),F,NT,1154,321,279,0,279,0.87,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Imanpa (Mount Ebenezer),F,NT,2287,635,458,0,458,0.72,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Kalkaringi (Wave Hill),F,NT,10114,2809,1970,0,1970,0.7,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Kaltukatjara (Docker River),F,NT,5866,1629,955,0,955,0.59,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Lajamanu (Hooker Creek),F,NT,12302,3417,1982,0,1982,0.58,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Laramba (Napperby),F,NT,3905,1085,758,0,758,0.7,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Maningrida,F,NT,38924,10812,6560,0,6560,0.61,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Milikapiti (Snake Bay),F,NT,9648,2680,2071,0,2071,0.77,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Milingimbi,F,NT,14619,4061,2568,0,2568,0.63,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Milyakburra (Bickerton Island),F,NT,3241,900,562,0,562,0.62,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Minjilang (Croker Island),F,NT,5086,1413,905,0,905,0.64,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Minyerri (Hodgson Downs),F,NT,8795,2443,1500,0,1500,0.61,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Nauiyu Nambiyu (Daly River),F,NT,12182,3384,1308,0,1308,0.39,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Nguiu (Bathurst Island),F,NT,27895,7749,4740,0,4740,0.61,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Ngukurr (Roper River),F,NT,20912,5809,3842,0,3842,0.66,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Numbulwar (Rose River),F,NT,11160,3100,2200,0,2200,0.71,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Nyirripi (Waite Creek),F,NT,3892,1081,616,0,616,0.57,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Orwaitilla (Canteen Creek),F,NT,2879,800,587,0,587,0.73,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Palumpa,F,NT,6352,1764,1263,0,1263,0.72,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Papunya,F,NT,7304,2029,1451,0,1451,0.72,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Peppimenarti,F,NT,4574,1270,929,0,929,0.73,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Pidgeon Hole,F,NT,2222,617,489,0,489,0.79,Off,Off-grid,Diesel,-
