Code,Label,Year,Estimated resident population (no.),Population density (persons/km2),Estimated resident population - males (no.),Estimated resident population - females (no.),Median age - males (years),Median age - females (years),Median age - persons (years),Working age population (aged 15-64 years) (no.),Working age population (aged 15-64 years) (%),Males - 0-4 years (no.),Males - 5-9 years (no.),Males - 10-14 years (no.),Males - 15-19 years (no.),Males - 20-24 years (no.),Males - 25-29 years (no.),Males - 30-34 years (no.),Males - 35-39 years (no.),Males - 40-44 years (no.),Males - 45-49 years (no.),Males - 50-54 years (no.),Males - 55-59 years (no.),Males - 60-64 years (no.),Males - 65-69 years (no.),Males - 70-74 years (no.),Males - 75-79 years (no.),Males - 80-84 years (no.),Males - 85 and over (no.),Males - 0-4 years (%),Males - 5-9 years (%),Males - 10-14 years (%),Males - 15-19 years (%),Males - 20-24 years (%),Males - 25-29 years (%),Males - 30-34 years (%),Males - 35-39 years (%),Males - 40-44 years (%),Males - 45-49 years (%),Males - 50-54 years (%),Males - 55-59 years (%),Males - 60-64 years (%),Males - 65-69 years (%),Males - 70-74 years (%),Males - 75-79 years (%),Males - 80-84 years (%),Males - 85 and over (%),Females - 0-4 years (no.),Females - 5-9 years (no.),Females - 10-14 years (no.),Females - 15-19 years (no.),Females - 20-24 years (no.),Females - 25-29 years (no.),Females - 30-34 years (no.),Females - 35-39 years (no.),Females - 40-44 years (no.),Females - 45-49 years (no.),Females - 50-54 years (no.),Females - 55-59 years (no.),Females - 60-64 years (no.),Females - 65-69 years (no.),Females - 70-74 years (no.),Females - 75-79 years (no.),Females - 80-84 years (no.),Females - 85 and over (no.),Females - 0-4 years (%),Females - 5-9 years (%),Females - 10-14 years (%),Females - 15-19 years (%),Females - 20-24 years (%),Females - 25-29 years (%),Females - 30-34 years (%),Females - 35-39 years (%),Females - 40-44 years (%),Females - 45-49 years (%),Females - 50-54 years (%),Females - 55-59 years (%),Females - 60-64 years (%),Females - 65-69 years (%),Females - 70-74 years (%),Females - 75-79 years (%),Females - 80-84 years (%),Females - 85 and over (%),Persons - 0-4 years (no.),Persons - 5-9 years (no.),Persons - 10-14 years (no.),Persons - 15-19 years (no.),Persons - 20-24 years (no.),Persons - 25-29 years (no.),Persons - 30-34 years (no.),Persons - 35-39 years (no.),Persons - 40-44 years (no.),Persons - 45-49 years (no.),Persons - 50-54 years (no.),Persons - 55-59 years (no.),Persons - 60-64 years (no.),Persons - 65-69 years (no.),Persons - 70-74 years (no.),Persons - 75-79 years (no.),Persons - 80-84 years (no.),Persons - 85 and over (no.),Persons - 0-4 years (%),Persons - 5-9 years (%),Persons - 10-14 years (%),Persons - 15-19 years (%),Persons - 20-24 years (%),Persons - 25-29 years (%),Persons - 30-34 years (%),Persons - 35-39 years (%),Persons - 40-44 years (%),Persons - 45-49 years (%),Persons - 50-54 years (%),Persons - 55-59 years (%),Persons - 60-64 years (%),Persons - 65-69 years (%),Persons - 70-74 years (%),Persons - 75-79 years (%),Persons - 80-84 years (%),Persons - 85 and over (%),Births (no.),Total fertility rate (births per female) (rate),Deaths (no.),"Standardised death rate (per 1,000 people) (rate)"
12,Outer Regional Australia,2024.0,383910.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Remote Australia,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.0,2.66,231.0,0.7
13,Remote Australia,2019.0,27657.0,0.1,14221.0,13436.0,40.3,39.5,39.9,17030.0,61.6,1117.0,988.0,911.0,737.0,767.0,922.0,887.0,740.0,705.0,875.0,941.0,1097.0,1022.0,834.0,668.0,500.0,305.0,205.0,7.9,6.9,6.4,5.2,5.4,6.5,6.2,5.2,5.0,6.2,6.6,7.7,7.2,5.9,4.7,3.5,2.1,1.4,929.0,977.0,867.0,742.0,729.0,932.0,875.0,734.0,763.0,872.0,863.0,960.0,867.0,668.0,574.0,457.0,349.0,278.0,6.9,7.3,6.5,5.5,5.4,6.9,6.5,5.5,5.7,6.5,6.4,7.1,6.5,5.0,4.3,3.4,2.6,2.1,2046.0,1965.0,1778.0,1479.0,1496.0,1854.0,1762.0,1474.0,1468.0,1747.0,1804.0,2057.0,1889.0,1502.0,1242.0,957.0,654.0,483.0,7.4,7.1,6.4,5.3,5.4,6.7,6.4,5.3,5.3,6.3,6.5,7.4,6.8,5.4,4.5,3.5,2.4,1.7,440.0,2.68,248.0,6.7
13,Remote Australia,2020.0,27202.0,0.1,13980.0,13222.0,40.7,40.0,40.4,16672.0,61.3,1056.0,975.0,908.0,725.0,725.0,897.0,867.0,742.0,686.0,840.0,930.0,1028.0,1041.0,859.0,688.0,486.0,319.0,208.0,7.6,7.0,6.5,5.2,5.2,6.4,6.2,5.3,4.9,6.0,6.7,7.4,7.4,6.1,4.9,3.5,2.3,1.5,887.0,927.0,866.0,711.0,694.0,882.0,855.0,784.0,705.0,836.0,854.0,951.0,919.0,673.0,591.0,448.0,344.0,295.0,6.7,7.0,6.5,5.4,5.2,6.7,6.5,5.9,5.3,6.3,6.5,7.2,7.0,5.1,4.5,3.4,2.6,2.2,1943.0,1902.0,1774.0,1436.0,1419.0,1779.0,1722.0,1526.0,1391.0,1676.0,1784.0,1979.0,1960.0,1532.0,1279.0,934.0,663.0,503.0,7.1,7.0,6.5,5.3,5.2,6.5,6.3,5.6,5.1,6.2,6.6,7.3,7.2,5.6,4.7,3.4,2.4,1.8,411.0,2.68,250.0,6.8
13,Remote Australia,2021.0,26778.0,0.1,13723.0,13055.0,41.3,40.3,40.8,16356.0,61.1,949.0,978.0,889.0,720.0,682.0,851.0,880.0,724.0,708.0,770.0,937.0,1031.0,1020.0,875.0,699.0,481.0,317.0,212.0,6.9,7.1,6.5,5.2,5.0,6.2,6.4,5.3,5.2,5.6,6.8,7.5,7.4,6.4,5.1,3.5,2.3,1.5,888.0,914.0,851.0,695.0,659.0,834.0,886.0,757.0,681.0,824.0,867.0,901.0,929.0,691.0,592.0,446.0,343.0,297.0,6.8,7.0,6.5,5.3,5.0,6.4,6.8,5.8,5.2,6.3,6.6,6.9,7.1,5.3,4.5,3.4,2.6,2.3,1837.0,1892.0,1740.0,1415.0,1341.0,1685.0,1766.0,1481.0,1389.0,1594.0,1804.0,1932.0,1949.0,1566.0,1291.0,927.0,660.0,509.0,6.9,7.1,6.5,5.3,5.0,6.3,6.6,5.5,5.2,6.0,6.7,7.2,7.3,5.8,4.8,3.5,2.5,1.9,391.0,2.56,249.0,6.9
13,Remote Australia,2022.0,26549.0,0.1,13630.0,12919.0,41.2,40.5,40.9,15949.0,60.1,982.0,960.0,917.0,732.0,650.0,812.0,848.0,764.0,668.0,727.0,932.0,978.0,1040.0,902.0,667.0,504.0,318.0,229.0,7.2,7.0,6.7,5.4,4.8,6.0,6.2,5.6,4.9,5.3,6.8,7.2,7.6,6.6,4.9,3.7,2.3,1.7,908.0,900.0,870.0,709.0,591.0,789.0,827.0,790.0,662.0,771.0,851.0,883.0,925.0,711.0,616.0,467.0,333.0,316.0,7.0,7.0,6.7,5.5,4.6,6.1,6.4,6.1,5.1,6.0,6.6,6.8,7.2,5.5,4.8,3.6,2.6,2.4,1890.0,1860.0,1787.0,1441.0,1241.0,1601.0,1675.0,1554.0,1330.0,1498.0,1783.0,1861.0,1965.0,1613.0,1283.0,971.0,651.0,545.0,7.1,7.0,6.7,5.4,4.7,6.0,6.3,5.9,5.0,5.6,6.7,7.0,7.4,6.1,4.8,3.7,2.5,2.1,427.0,2.63,252.0,6.9
13,Remote Australia,2023.0,26576.0,0.1,13611.0,12970.0,40.6,40.6,40.6,15750.0,59.3,1015.0,963.0,920.0,731.0,665.0,778.0,837.0,827.0,647.0,700.0,892.0,924.0,1073.0,877.0,688.0,527.0,302.0,245.0,7.5,7.1,6.8,5.4,4.9,5.7,6.1,6.1,4.8,5.1,6.6,6.8,7.9,6.4,5.1,3.9,2.2,1.8,954.0,846.0,942.0,730.0,576.0,747.0,825.0,794.0,656.0,765.0,834.0,844.0,905.0,765.0,616.0,496.0,336.0,339.0,7.4,6.5,7.3,5.6,4.4,5.8,6.4,6.1,5.1,5.9,6.4,6.5,7.0,5.9,4.7,3.8,2.6,2.6,1969.0,1809.0,1862.0,1461.0,1241.0,1525.0,1662.0,1621.0,1303.0,1465.0,1726.0,1768.0,1978.0,1642.0,1304.0,1023.0,638.0,584.0,7.4,6.8,7.0,5.5,4.7,5.7,6.3,6.1,4.9,5.5,6.5,6.7,7.4,6.2,4.9,3.8,2.4,2.2,407.0,2.72,286.0,7.1
13,Remote Australia,2024.0,26448.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Very Remote Australia,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,2.18,76.0,8.7
14,Very Remote Australia,2019.0,7305.0,,3750.0,3555.0,39.2,37.9,38.6,4717.0,64.6,264.0,279.0,215.0,192.0,222.0,256.0,253.0,217.0,186.0,249.0,269.0,280.0,259.0,234.0,173.0,111.0,57.0,34.0,7.0,7.4,5.7,5.1,5.9,6.8,6.7,5.8,5.0,6.6,7.2,7.5,6.9,6.2,4.6,3.0,1.5,0.9,250.0,246.0,221.0,197.0,201.0,278.0,258.0,216.0,209.0,241.0,267.0,243.0,224.0,173.0,126.0,91.0,62.0,52.0,7.0,6.9,6.2,5.5,5.7,7.8,7.3,6.1,5.9,6.8,7.5,6.8,6.3,4.9,3.5,2.6,1.7,1.5,514.0,525.0,436.0,389.0,423.0,534.0,511.0,433.0,395.0,490.0,536.0,523.0,483.0,407.0,299.0,202.0,119.0,86.0,7.0,7.2,6.0,5.3,5.8,7.3,7.0,5.9,5.4,6.7,7.3,7.2,6.6,5.6,4.1,2.8,1.6,1.2,102.0,2.13,59.0,8.5
14,Very Remote Australia,2020.0,7130.0,,3643.0,3487.0,40.3,38.7,39.5,4564.0,64.0,247.0,270.0,213.0,198.0,201.0,222.0,244.0,217.0,177.0,217.0,266.0,283.0,255.0,233.0,200.0,111.0,61.0,28.0,6.8,7.4,5.8,5.4,5.5,6.1,6.7,6.0,4.9,6.0,7.3,7.8,7.0,6.4,5.5,3.0,1.7,0.8,227.0,236.0,221.0,200.0,187.0,262.0,267.0,188.0,209.0,232.0,255.0,248.0,236.0,173.0,139.0,98.0,64.0,45.0,6.5,6.8,6.3,5.7,5.4,7.5,7.7,5.4,6.0,6.7,7.3,7.1,6.8,5.0,4.0,2.8,1.8,1.3,474.0,506.0,434.0,398.0,388.0,484.0,511.0,405.0,386.0,449.0,521.0,531.0,491.0,406.0,339.0,209.0,125.0,73.0,6.6,7.1,6.1,5.6,5.4,6.8,7.2,5.7,5.4,6.3,7.3,7.4,6.9,5.7,4.8,2.9,1.8,1.0,101.0,2.22,58.0,8.5
14,Very Remote Australia,2021.0,6982.0,,3578.0,3404.0,41.0,39.1,40.1,4446.0,63.7,241.0,272.0,214.0,207.0,175.0,194.0,235.0,209.0,189.0,189.0,252.0,282.0,262.0,238.0,219.0,122.0,56.0,22.0,6.7,7.6,6.0,5.8,4.9,5.4,6.6,5.8,5.3,5.3,7.0,7.9,7.3,6.7,6.1,3.4,1.6,0.6,197.0,219.0,226.0,189.0,187.0,243.0,267.0,205.0,206.0,223.0,243.0,247.0,242.0,166.0,154.0,92.0,57.0,41.0,5.8,6.4,6.6,5.6,5.5,7.1,7.8,6.0,6.1,6.6,7.1,7.3,7.1,4.9,4.5,2.7,1.7,1.2,438.0,491.0,440.0,396.0,362.0,437.0,502.0,414.0,395.0,412.0,495.0,529.0,504.0,404.0,373.0,214.0,113.0,63.0,6.3,7.0,6.3,5.7,5.2,6.3,7.2,5.9,5.7,5.9,7.1,7.6,7.2,5.8,5.3,3.1,1.6,0.9,108.0,2.25,62.0,8.1
14,Very Remote Australia,2022.0,6851.0,,3502.0,3349.0,41.4,39.1,40.2,4269.0,62.3,244.0,246.0,244.0,190.0,168.0,171.0,215.0,218.0,174.0,168.0,256.0,272.0,254.0,243.0,201.0,141.0,69.0,28.0,7.0,7.0,7.0,5.4,4.8,4.9,6.1,6.2,5.0,4.8,7.3,7.8,7.3,6.9,5.7,4.0,2.0,0.8,207.0,194.0,230.0,201.0,195.0,203.0,284.0,198.0,182.0,176.0,283.0,219.0,242.0,158.0,160.0,99.0,70.0,48.0,6.2,5.8,6.9,6.0,5.8,6.1,8.5,5.9,5.4,5.3,8.5,6.5,7.2,4.7,4.8,3.0,2.1,1.4,451.0,440.0,474.0,391.0,363.0,374.0,499.0,416.0,356.0,344.0,539.0,491.0,496.0,401.0,361.0,240.0,139.0,76.0,6.6,6.4,6.9,5.7,5.3,5.5,7.3,6.1,5.2,5.0,7.9,7.2,7.2,5.9,5.3,3.5,2.0,1.1,119.0,2.41,63.0,8.2
14,Very Remote Australia,2023.0,6864.0,,3477.0,3389.0,41.2,38.7,40.0,4231.0,61.6,240.0,249.0,249.0,197.0,176.0,160.0,218.0,198.0,184.0,161.0,234.0,260.0,250.0,242.0,202.0,142.0,85.0,30.0,6.9,7.2,7.2,5.7,5.1,4.6,6.3,5.7,5.3,4.6,6.7,7.5,7.2,7.0,5.8,4.1,2.4,0.9,210.0,185.0,248.0,214.0,211.0,199.0,275.0,202.0,188.0,178.0,267.0,216.0,243.0,164.0,146.0,97.0,88.0,58.0,6.2,5.5,7.3,6.3,6.2,5.9,8.1,6.0,5.5,5.3,7.9,6.4,7.2,4.8,4.3,2.9,2.6,1.7,450.0,434.0,497.0,411.0,387.0,359.0,493.0,400.0,372.0,339.0,501.0,476.0,493.0,406.0,348.0,239.0,173.0,88.0,6.6,6.3,7.2,6.0,5.6,5.2,7.2,5.8,5.4,4.9,7.3,6.9,7.2,5.9,5.1,3.5,2.5,1.3,108.0,2.49,73.0,8.4
14,Very Remote Australia,2024.0,6832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Major Cities of Australia,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62913.0,1.66,26435.0,4.8
20,Major Cities of Australia,2019.0,5102070.0,1009.3,2523950.0,2578120.0,34.9,36.6,35.8,3457743.0,67.8,163972.0,163157.0,151351.0,150890.0,202891.0,219599.0,213564.0,196994.0,167084.0,165524.0,147183.0,138822.0,119267.0,99418.0,86082.0,59616.0,41268.0,37268.0,6.5,6.5,6.0,6.0,8.0,8.7,8.5,7.8,6.6,6.6,5.8,5.5,4.7,3.9,3.4,2.4,1.6,1.5,154980.0,155094.0,143138.0,143931.0,189689.0,216856.0,218086.0,197139.0,168301.0,173040.0,154041.0,146077.0,128765.0,111406.0,95938.0,68515.0,52488.0,60636.0,6.0,6.0,5.6,5.6,7.4,8.4,8.5,7.6,6.5,6.7,6.0,5.7,5.0,4.3,3.7,2.7,2.0,2.4,318952.0,318251.0,294489.0,294821.0,392580.0,436455.0,431650.0,394133.0,335385.0,338564.0,301224.0,284899.0,248032.0,210824.0,182020.0,128131.0,93756.0,97904.0,6.3,6.2,5.8,5.8,7.7,8.6,8.5,7.7,6.6,6.6,5.9,5.6,4.9,4.1,3.6,2.5,1.8,1.9,62364.0,1.59,30800.0,4.9
20,Major Cities of Australia,2020.0,5159031.0,1020.5,2551649.0,2607382.0,35.3,37.0,36.2,3485082.0,67.6,161434.0,164569.0,155333.0,149310.0,197162.0,219551.0,216263.0,203891.0,170297.0,165738.0,150714.0,140565.0,122743.0,101896.0,89001.0,61975.0,42960.0,38247.0,6.3,6.4,6.1,5.9,7.7,8.6,8.5,8.0,6.7,6.5,5.9,5.5,4.8,4.0,3.5,2.4,1.7,1.5,152457.0,156248.0,147584.0,141560.0,183516.0,214434.0,221137.0,204269.0,171824.0,172668.0,157696.0,148123.0,133621.0,114835.0,100460.0,71370.0,54129.0,61451.0,5.8,6.0,5.7,5.4,7.0,8.2,8.5,7.8,6.6,6.6,6.0,5.7,5.1,4.4,3.9,2.7,2.1,2.4,313891.0,320817.0,302917.0,290870.0,380678.0,433985.0,437400.0,408160.0,342121.0,338406.0,308410.0,288688.0,256364.0,216731.0,189461.0,133345.0,97089.0,99698.0,6.1,6.2,5.9,5.6,7.4,8.4,8.5,7.9,6.6,6.6,6.0,5.6,5.0,4.2,3.7,2.6,1.9,1.9,58856.0,1.49,28814.0,4.9
20,Major Cities of Australia,2021.0,5075096.0,1003.9,2508441.0,2566655.0,35.9,37.6,36.7,3400517.0,67.0,157037.0,163373.0,155814.0,145769.0,179823.0,206131.0,210354.0,204458.0,171835.0,161780.0,152802.0,138568.0,122373.0,101744.0,88891.0,64185.0,44070.0,39434.0,6.3,6.5,6.2,5.8,7.2,8.2,8.4,8.2,6.9,6.4,6.1,5.5,4.9,4.1,3.5,2.6,1.8,1.6,148997.0,154918.0,148088.0,138575.0,168076.0,200092.0,215833.0,205496.0,174366.0,166465.0,160110.0,144732.0,132879.0,114280.0,102538.0,73854.0,54811.0,62545.0,5.8,6.0,5.8,5.4,6.5,7.8,8.4,8.0,6.8,6.5,6.2,5.6,5.2,4.5,4.0,2.9,2.1,2.4,306034.0,318291.0,303902.0,284344.0,347899.0,406223.0,426187.0,409954.0,346201.0,328245.0,312912.0,283300.0,255252.0,216024.0,191429.0,138039.0,98881.0,101979.0,6.0,6.3,6.0,5.6,6.9,8.0,8.4,8.1,6.8,6.5,6.2,5.6,5.0,4.3,3.8,2.7,1.9,2.0,59818.0,1.46,29641.0,4.9
20,Major Cities of Australia,2022.0,5141424.0,1017.1,2540459.0,2600965.0,35.9,37.6,36.8,3448989.0,67.1,155891.0,163751.0,157369.0,150928.0,182356.0,209967.0,211284.0,207865.0,178188.0,159918.0,156169.0,137820.0,124286.0,103269.0,87388.0,68465.0,45238.0,40307.0,6.1,6.4,6.2,5.9,7.2,8.3,8.3,8.2,7.0,6.3,6.1,5.4,4.9,4.1,3.4,2.7,1.8,1.6,148746.0,154854.0,150174.0,143386.0,172043.0,201409.0,217855.0,208828.0,180292.0,163706.0,164243.0,144342.0,134104.0,116048.0,102042.0,79445.0,56086.0,63362.0,5.7,6.0,5.8,5.5,6.6,7.7,8.4,8.0,6.9,6.3,6.3,5.5,5.2,4.5,3.9,3.1,2.2,2.4,304637.0,318605.0,307543.0,294314.0,354399.0,411376.0,429139.0,416693.0,358480.0,323624.0,320412.0,282162.0,258390.0,219317.0,189430.0,147910.0,101324.0,103669.0,5.9,6.2,6.0,5.7,6.9,8.0,8.3,8.1,7.0,6.3,6.2,5.5,5.0,4.3,3.7,2.9,2.0,2.0,59830.0,1.44,33335.0,0.5
20,Major Cities of Australia,2023.0,5312550.0,1050.9,2626316.0,2685308.0,35.7,37.4,36.5,3586701.0,67.5,157060.0,165013.0,161143.0,159755.0,196171.0,223335.0,221016.0,214991.0,188912.0,160810.0,158615.0,138372.0,127372.0,105674.0,87726.0,72543.0,46175.0,41633.0,6.0,6.3,6.1,6.1,7.5,8.5,8.4,8.2,7.2,6.1,6.0,5.3,4.8,4.0,3.3,2.8,1.8,1.6,150203.0,155838.0,153733.0,151142.0,185036.0,214925.0,226533.0,215846.0,189989.0,164474.0,167365.0,145479.0,136563.0,118813.0,102796.0,84827.0,57143.0,64603.0,5.6,5.8,5.7,5.6,6.9,8.0,8.4,8.0,7.1,6.1,6.2,5.4,5.1,4.4,3.8,3.2,2.1,2.4,307263.0,320851.0,314876.0,310897.0,381207.0,438260.0,447549.0,430837.0,378901.0,325284.0,325980.0,283851.0,263935.0,224487.0,190522.0,157370.0,103318.0,106236.0,5.8,6.0,5.9,5.9,7.2,8.3,8.4,8.1,7.1,6.1,6.1,5.3,5.0,4.2,3.6,3.0,1.9,2.0,56842.0,1.42,31458.0,0.5
20,Major Cities of Australia,2024.0,5457172.0,1079.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Inner Regional Australia,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12806.0,2.01,9354.0,5.6
21,Inner Regional Australia,2019.0,1177949.0,15.9,583382.0,594567.0,41.0,43.2,42.1,721329.0,61.2,35070.0,38351.0,38832.0,36181.0,35783.0,35002.0,33606.0,32540.0,32520.0,36954.0,36442.0,39456.0,38455.0,36600.0,31698.0,21292.0,13492.0,11108.0,6.0,6.6,6.7,6.2,6.1,6.0,5.8,5.6,5.6,6.3,6.2,6.8,6.6,6.3,5.4,3.6,2.3,1.9,33132.0,35980.0,36293.0,33588.0,32786.0,34474.0,34814.0,34749.0,34285.0,38907.0,38347.0,41887.0,40553.0,37721.0,31919.0,22020.0,15307.0,17805.0,5.6,6.1,6.1,5.6,5.5,5.8,5.9,5.8,5.8,6.5,6.4,7.0,6.8,6.3,5.4,3.7,2.6,3.0,68202.0,74331.0,75125.0,69769.0,68569.0,69476.0,68420.0,67289.0,66805.0,75861.0,74789.0,81343.0,79008.0,74321.0,63617.0,43312.0,28799.0,28913.0,5.8,6.3,6.4,5.9,5.8,5.9,5.8,5.7,5.7,6.4,6.3,6.9,6.7,6.3,5.4,3.7,2.4,2.5,12303.0,1.9,10516.0,5.7
21,Inner Regional Australia,2020.0,1196684.0,16.1,591944.0,604740.0,41.4,43.7,42.6,727552.0,60.8,34618.0,38356.0,39802.0,35977.0,34550.0,35410.0,34373.0,33698.0,32573.0,36936.0,36851.0,39521.0,39551.0,37869.0,33517.0,22602.0,14299.0,11441.0,5.8,6.5,6.7,6.1,5.8,6.0,5.8,5.7,5.5,6.2,6.2,6.7,6.7,6.4,5.7,3.8,2.4,1.9,32984.0,35806.0,37164.0,33376.0,31697.0,34761.0,35462.0,36032.0,34436.0,38820.0,38835.0,42394.0,42299.0,39215.0,34155.0,23175.0,16134.0,17995.0,5.5,5.9,6.1,5.5,5.2,5.7,5.9,6.0,5.7,6.4,6.4,7.0,7.0,6.5,5.6,3.8,2.7,3.0,67602.0,74162.0,76966.0,69353.0,66247.0,70171.0,69835.0,69730.0,67009.0,75756.0,75686.0,81915.0,81850.0,77084.0,67672.0,45777.0,30433.0,29436.0,5.6,6.2,6.4,5.8,5.5,5.9,5.8,5.8,5.6,6.3,6.3,6.8,6.8,6.4,5.7,3.8,2.5,2.5,12143.0,1.82,9813.0,5.6
21,Inner Regional Australia,2021.0,1212737.0,16.3,598958.0,613779.0,42.3,44.4,43.4,729872.0,60.2,33950.0,38674.0,40768.0,35909.0,31724.0,33877.0,34692.0,34636.0,33289.0,36760.0,38541.0,39593.0,40879.0,39039.0,35434.0,24120.0,15159.0,11914.0,5.7,6.5,6.8,6.0,5.3,5.7,5.8,5.8,5.6,6.1,6.4,6.6,6.8,6.5,5.9,4.0,2.5,2.0,32807.0,36076.0,37872.0,33544.0,29442.0,33622.0,35759.0,36824.0,35575.0,38442.0,40449.0,42563.0,43752.0,40715.0,36341.0,24883.0,16787.0,18326.0,5.3,5.9,6.2,5.5,4.8,5.5,5.8,6.0,5.8,6.3,6.6,6.9,7.1,6.6,5.9,4.1,2.7,3.0,66757.0,74750.0,78640.0,69453.0,61166.0,67499.0,70451.0,71460.0,68864.0,75202.0,78990.0,82156.0,84631.0,79754.0,71775.0,49003.0,31946.0,30240.0,5.5,6.2,6.5,5.7,5.0,5.6,5.8,5.9,5.7,6.2,6.5,6.8,7.0,6.6,5.9,4.0,2.6,2.5,12951.0,1.81,10271.0,5.6
21,Inner Regional Australia,2022.0,1228322.0,16.5,606639.0,621683.0,42.5,44.6,43.6,735774.0,59.9,34304.0,38310.0,40842.0,37554.0,31399.0,32767.0,35210.0,35766.0,34140.0,35971.0,39578.0,38941.0,41769.0,39587.0,35920.0,26218.0,16008.0,12355.0,5.7,6.3,6.7,6.2,5.2,5.4,5.8,5.9,5.6,5.9,6.5,6.4,6.9,6.5,5.9,4.3,2.6,2.0,33033.0,36215.0,37872.0,35149.0,28533.0,32582.0,36334.0,37689.0,36394.0,37674.0,41593.0,41825.0,44906.0,41686.0,36772.0,27215.0,17582.0,18629.0,5.3,5.8,6.1,5.7,4.6,5.2,5.8,6.1,5.9,6.1,6.7,6.7,7.2,6.7,5.9,4.4,2.8,3.0,67337.0,74525.0,78714.0,72703.0,59932.0,65349.0,71544.0,73455.0,70534.0,73645.0,81171.0,80766.0,86675.0,81273.0,72692.0,53433.0,33590.0,30984.0,5.5,6.1,6.4,5.9,4.9,5.3,5.8,6.0,5.7,6.0,6.6,6.6,7.1,6.6,5.9,4.4,2.7,2.5,12760.0,1.83,11744.0,5.6
21,Inner Regional Australia,2023.0,1242354.0,16.7,613241.0,629223.0,42.5,44.6,43.6,742279.0,59.7,34212.0,37907.0,40986.0,39380.0,32380.0,32592.0,35337.0,36190.0,34803.0,35577.0,39797.0,38389.0,41964.0,39898.0,36301.0,28188.0,16662.0,12678.0,5.6,6.2,6.7,6.4,5.3,5.3,5.8,5.9,5.7,5.8,6.5,6.3,6.8,6.5,5.9,4.6,2.7,2.1,33148.0,36007.0,37952.0,36792.0,29134.0,32038.0,36650.0,38504.0,37191.0,37340.0,41820.0,40979.0,45422.0,42388.0,37758.0,29254.0,18103.0,18743.0,5.3,5.7,6.0,5.8,4.6,5.1,5.8,6.1,5.9,5.9,6.6,6.5,7.2,6.7,6.0,4.6,2.9,3.0,67360.0,73914.0,78938.0,76172.0,61514.0,64630.0,71987.0,74694.0,71994.0,72917.0,81617.0,79368.0,87386.0,82286.0,74059.0,57442.0,34765.0,31421.0,5.4,5.9,6.4,6.1,5.0,5.2,5.8,6.0,5.8,5.9,6.6,6.4,7.0,6.6,6.0,4.6,2.8,2.5,12458.0,1.85,11165.0,5.6
21,Inner Regional Australia,2024.0,1259831.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Outer Regional Australia,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2744.0,2.19,2402.0,5.8
