Code,Label,Year,Estimated resident population (no.),Population density (persons/km2),Estimated resident population - males (no.),Estimated resident population - females (no.),Median age - males (years),Median age - females (years),Median age - persons (years),Working age population (aged 15-64 years) (no.),Working age population (aged 15-64 years) (%),Males - 0-4 years (no.),Males - 5-9 years (no.),Males - 10-14 years (no.),Males - 15-19 years (no.),Males - 20-24 years (no.),Males - 25-29 years (no.),Males - 30-34 years (no.),Males - 35-39 years (no.),Males - 40-44 years (no.),Males - 45-49 years (no.),Males - 50-54 years (no.),Males - 55-59 years (no.),Males - 60-64 years (no.),Males - 65-69 years (no.),Males - 70-74 years (no.),Males - 75-79 years (no.),Males - 80-84 years (no.),Males - 85 and over (no.),Males - 0-4 years (%),Males - 5-9 years (%),Males - 10-14 years (%),Males - 15-19 years (%),Males - 20-24 years (%),Males - 25-29 years (%),Males - 30-34 years (%),Males - 35-39 years (%),Males - 40-44 years (%),Males - 45-49 years (%),Males - 50-54 years (%),Males - 55-59 years (%),Males - 60-64 years (%),Males - 65-69 years (%),Males - 70-74 years (%),Males - 75-79 years (%),Males - 80-84 years (%),Males - 85 and over (%),Females - 0-4 years (no.),Females - 5-9 years (no.),Females - 10-14 years (no.),Females - 15-19 years (no.),Females - 20-24 years (no.),Females - 25-29 years (no.),Females - 30-34 years (no.),Females - 35-39 years (no.),Females - 40-44 years (no.),Females - 45-49 years (no.),Females - 50-54 years (no.),Females - 55-59 years (no.),Females - 60-64 years (no.),Females - 65-69 years (no.),Females - 70-74 years (no.),Females - 75-79 years (no.),Females - 80-84 years (no.),Females - 85 and over (no.),Females - 0-4 years (%),Females - 5-9 years (%),Females - 10-14 years (%),Females - 15-19 years (%),Females - 20-24 years (%),Females - 25-29 years (%),Females - 30-34 years (%),Females - 35-39 years (%),Females - 40-44 years (%),Females - 45-49 years (%),Females - 50-54 years (%),Females - 55-59 years (%),Females - 60-64 years (%),Females - 65-69 years (%),Females - 70-74 years (%),Females - 75-79 years (%),Females - 80-84 years (%),Females - 85 and over (%),Persons - 0-4 years (no.),Persons - 5-9 years (no.),Persons - 10-14 years (no.),Persons - 15-19 years (no.),Persons - 20-24 years (no.),Persons - 25-29 years (no.),Persons - 30-34 years (no.),Persons - 35-39 years (no.),Persons - 40-44 years (no.),Persons - 45-49 years (no.),Persons - 50-54 years (no.),Persons - 55-59 years (no.),Persons - 60-64 years (no.),Persons - 65-69 years (no.),Persons - 70-74 years (no.),Persons - 75-79 years (no.),Persons - 80-84 years (no.),Persons - 85 and over (no.),Persons - 0-4 years (%),Persons - 5-9 years (%),Persons - 10-14 years (%),Persons - 15-19 years (%),Persons - 20-24 years (%),Persons - 25-29 years (%),Persons - 30-34 years (%),Persons - 35-39 years (%),Persons - 40-44 years (%),Persons - 45-49 years (%),Persons - 50-54 years (%),Persons - 55-59 years (%),Persons - 60-64 years (%),Persons - 65-69 years (%),Persons - 70-74 years (%),Persons - 75-79 years (%),Persons - 80-84 years (%),Persons - 85 and over (%),Births (no.),Total fertility rate (births per female) (rate),Deaths (no.),"Standardised death rate (per 1,000 people) (rate)"
11,Inner Regional Australia,2021.0,1571760.0,16.8,779910.0,791850.0,42.7,44.9,43.9,928710.0,59.1,44673.0,49583.0,52870.0,47937.0,41231.0,42632.0,44060.0,44149.0,41166.0,46733.0,48112.0,51443.0,53850.0,51231.0,48220.0,33902.0,21261.0,16857.0,5.7,6.4,6.8,6.1,5.3,5.5,5.6,5.7,5.3,6.0,6.2,6.6,6.9,6.6,6.2,4.3,2.7,2.2,41869.0,46411.0,49971.0,44009.0,38218.0,42060.0,45015.0,45089.0,43745.0,48262.0,50370.0,53581.0,57048.0,52778.0,48810.0,35036.0,23948.0,25630.0,5.3,5.9,6.3,5.6,4.8,5.3,5.7,5.7,5.5,6.1,6.4,6.8,7.2,6.7,6.2,4.4,3.0,3.2,86542.0,95994.0,102841.0,91946.0,79449.0,84692.0,89075.0,89238.0,84911.0,94995.0,98482.0,105024.0,110898.0,104009.0,97030.0,68938.0,45209.0,42487.0,5.5,6.1,6.5,5.8,5.1,5.4,5.7,5.7,5.4,6.0,6.3,6.7,7.1,6.6,6.2,4.4,2.9,2.7,17797.0,1.99,14617.0,5.6
11,Inner Regional Australia,2022.0,1586980.0,17.0,787385.0,799595.0,42.8,45.0,44.0,932944.0,58.8,45282.0,49560.0,53045.0,49968.0,40840.0,41101.0,44429.0,44808.0,42513.0,45209.0,49396.0,50404.0,54719.0,51973.0,47812.0,36664.0,22196.0,17466.0,5.8,6.3,6.7,6.3,5.2,5.2,5.6,5.7,5.4,5.7,6.3,6.4,6.9,6.6,6.1,4.7,2.8,2.2,42649.0,46126.0,50106.0,45974.0,37374.0,41072.0,45442.0,45966.0,44697.0,46729.0,51756.0,52454.0,58093.0,53818.0,48700.0,37937.0,24628.0,26074.0,5.3,5.8,6.3,5.7,4.7,5.1,5.7,5.7,5.6,5.8,6.5,6.6,7.3,6.7,6.1,4.7,3.1,3.3,87931.0,95686.0,103151.0,95942.0,78214.0,82173.0,89871.0,90774.0,87210.0,91938.0,101152.0,102858.0,112812.0,105791.0,96512.0,74601.0,46824.0,43540.0,5.5,6.0,6.5,6.0,4.9,5.2,5.7,5.7,5.5,5.8,6.4,6.5,7.1,6.7,6.1,4.7,3.0,2.7,17959.0,2.04,16028.0,5.7
11,Inner Regional Australia,2023.0,1601957.0,17.2,795080.0,807026.0,42.7,45.0,43.9,939666.0,58.7,45888.0,48888.0,53018.0,51063.0,42585.0,41500.0,45038.0,45344.0,43941.0,44128.0,49852.0,48813.0,55099.0,52130.0,47925.0,38824.0,23009.0,18035.0,5.8,6.1,6.7,6.4,5.4,5.2,5.7,5.7,5.5,5.6,6.3,6.1,6.9,6.6,6.0,4.9,2.9,2.3,43307.0,45671.0,49879.0,47376.0,38274.0,40871.0,46102.0,46254.0,45738.0,45799.0,52293.0,51243.0,58353.0,54888.0,49224.0,40032.0,25522.0,26200.0,5.4,5.7,6.2,5.9,4.7,5.1,5.7,5.7,5.7,5.7,6.5,6.3,7.2,6.8,6.1,5.0,3.2,3.2,89195.0,94559.0,102897.0,98439.0,80859.0,82371.0,91140.0,91598.0,89679.0,89927.0,102145.0,100056.0,113452.0,107018.0,97149.0,78856.0,48531.0,44235.0,5.6,5.9,6.4,6.1,5.0,5.1,5.7,5.7,5.6,5.6,6.4,6.2,7.1,6.7,6.1,4.9,3.0,2.8,17176.0,2.05,15564.0,5.7
11,Inner Regional Australia,2024.0,1618435.0,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Outer Regional Australia,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4708.0,2.24,3606.0,6.2
12,Outer Regional Australia,2019.0,379860.0,1.3,192340.0,187520.0,43.8,44.7,44.2,226180.0,59.5,11346.0,12468.0,12751.0,11408.0,10356.0,10687.0,10145.0,9731.0,9699.0,11659.0,12038.0,14589.0,14208.0,13186.0,11497.0,7689.0,5096.0,3787.0,5.9,6.5,6.6,5.9,5.4,5.6,5.3,5.1,5.0,6.1,6.3,7.6,7.4,6.9,6.0,4.0,2.6,2.0,10679.0,11877.0,12012.0,10314.0,9199.0,10372.0,10107.0,9973.0,9907.0,11773.0,12050.0,14401.0,13564.0,12118.0,10459.0,7542.0,5476.0,5697.0,5.7,6.3,6.4,5.5,4.9,5.5,5.4,5.3,5.3,6.3,6.4,7.7,7.2,6.5,5.6,4.0,2.9,3.0,22025.0,24345.0,24763.0,21722.0,19555.0,21059.0,20252.0,19704.0,19606.0,23432.0,24088.0,28990.0,27772.0,25304.0,21956.0,15231.0,10572.0,9484.0,5.8,6.4,6.5,5.7,5.1,5.5,5.3,5.2,5.2,6.2,6.3,7.6,7.3,6.7,5.8,4.0,2.8,2.5,4342.0,2.25,3773.0,6.2
12,Outer Regional Australia,2020.0,379593.0,1.3,192396.0,187197.0,44.3,45.2,44.7,224694.0,59.2,11059.0,12219.0,12903.0,11143.0,9926.0,10549.0,10287.0,9904.0,9605.0,11451.0,12035.0,14194.0,14672.0,13422.0,11912.0,8023.0,5233.0,3859.0,5.7,6.4,6.7,5.8,5.2,5.5,5.3,5.1,5.0,6.0,6.3,7.4,7.6,7.0,6.2,4.2,2.7,2.0,10386.0,11496.0,12171.0,10114.0,8778.0,10234.0,10142.0,10114.0,9848.0,11415.0,12100.0,14194.0,13989.0,12424.0,10787.0,7754.0,5547.0,5704.0,5.5,6.1,6.5,5.4,4.7,5.5,5.4,5.4,5.3,6.1,6.5,7.6,7.5,6.6,5.8,4.1,3.0,3.0,21445.0,23715.0,25074.0,21257.0,18704.0,20783.0,20429.0,20018.0,19453.0,22866.0,24135.0,28388.0,28661.0,25846.0,22699.0,15777.0,10780.0,9563.0,5.6,6.2,6.6,5.6,4.9,5.5,5.4,5.3,5.1,6.0,6.4,7.5,7.6,6.8,6.0,4.2,2.8,2.5,4269.0,2.24,3378.0,0.6
12,Outer Regional Australia,2021.0,378970.0,1.3,192473.0,186497.0,44.8,45.6,45.2,222763.0,58.8,10821.0,12235.0,13053.0,10907.0,9350.0,10293.0,10306.0,10017.0,9719.0,11130.0,12301.0,13822.0,15068.0,13541.0,12369.0,8268.0,5353.0,3920.0,5.6,6.4,6.8,5.7,4.9,5.3,5.4,5.2,5.0,5.8,6.4,7.2,7.8,7.0,6.4,4.3,2.8,2.0,10145.0,11234.0,12254.0,10108.0,8132.0,9790.0,10284.0,10063.0,9996.0,11090.0,12200.0,13770.0,14417.0,12558.0,11106.0,7938.0,5706.0,5706.0,5.4,6.0,6.6,5.4,4.4,5.2,5.5,5.4,5.4,5.9,6.5,7.4,7.7,6.7,6.0,4.3,3.1,3.1,20966.0,23469.0,25307.0,21015.0,17482.0,20083.0,20590.0,20080.0,19715.0,22220.0,24501.0,27592.0,29485.0,26099.0,23475.0,16206.0,11059.0,9626.0,5.5,6.2,6.7,5.5,4.6,5.3,5.4,5.3,5.2,5.9,6.5,7.3,7.8,6.9,6.2,4.3,2.9,2.5,4406.0,2.21,3679.0,0.6
12,Outer Regional Australia,2022.0,380023.0,1.3,192894.0,187129.0,45.0,45.9,45.4,221328.0,58.2,11043.0,11910.0,13011.0,11563.0,9036.0,9795.0,10173.0,10127.0,9755.0,10700.0,12394.0,13379.0,15233.0,13750.0,12435.0,8899.0,5509.0,4182.0,5.7,6.2,6.7,6.0,4.7,5.1,5.3,5.3,5.1,5.5,6.4,6.9,7.9,7.1,6.4,4.6,2.9,2.2,10211.0,11097.0,12362.0,10640.0,7509.0,9414.0,10341.0,10198.0,10053.0,10699.0,12336.0,13372.0,14611.0,12911.0,11105.0,8519.0,5856.0,5895.0,5.5,5.9,6.6,5.7,4.0,5.0,5.5,5.4,5.4,5.7,6.6,7.1,7.8,6.9,5.9,4.6,3.1,3.2,21254.0,23007.0,25373.0,22203.0,16545.0,19209.0,20514.0,20325.0,19808.0,21399.0,24730.0,26751.0,29844.0,26661.0,23540.0,17418.0,11365.0,10077.0,5.6,6.1,6.7,5.8,4.4,5.1,5.4,5.3,5.2,5.6,6.5,7.0,7.9,7.0,6.2,4.6,3.0,2.7,4681.0,2.32,4003.0,0.6
12,Outer Regional Australia,2023.0,381972.0,1.3,193994.0,188013.0,44.8,45.9,45.4,221459.0,58.0,11157.0,11722.0,12979.0,11984.0,9299.0,9817.0,10318.0,10089.0,9919.0,10332.0,12304.0,12955.0,15281.0,13870.0,12487.0,9548.0,5538.0,4395.0,5.8,6.0,6.7,6.2,4.8,5.1,5.3,5.2,5.1,5.3,6.3,6.7,7.9,7.1,6.4,4.9,2.9,2.3,10366.0,10927.0,12301.0,11054.0,7599.0,9258.0,10388.0,10230.0,10162.0,10436.0,12332.0,12824.0,14878.0,13057.0,11348.0,9001.0,5919.0,5933.0,5.5,5.8,6.5,5.9,4.0,4.9,5.5,5.4,5.4,5.6,6.6,6.8,7.9,6.9,6.0,4.8,3.1,3.2,21523.0,22649.0,25280.0,23038.0,16898.0,19075.0,20706.0,20319.0,20081.0,20768.0,24636.0,25779.0,30159.0,26927.0,23835.0,18549.0,11457.0,10328.0,5.6,5.9,6.6,6.0,4.4,5.0,5.4,5.3,5.3,5.4,6.4,6.7,7.9,7.0,6.2,4.9,3.0,2.7,4375.0,2.37,3885.0,6.1
